,filename,lx_top,ly_top,lx_bottom,ly_bottom,rx_top,ry_top,rx_bottom,ry_bottom
0,006/2/2022-09-28 11:48:38.030496-25296.jpg,129,469,391,560,627,453,843,552
1,006/2/2022-09-28 11:49:28.326509-33152.jpg,151,437,382,539,606,439,853,528
2,006/2/2022-09-28 11:50:15.629200-40556.jpg,159,433,375,554,591,437,841,534
3,006/2/2022-09-28 11:46:41.046165-7060.jpg,155,412,388,536,611,419,838,517
4,006/2/2022-09-28 11:50:15.654284-40560.jpg,150,431,376,524,596,429,819,513
5,006/2/2022-09-28 11:49:49.895758-36540.jpg,170,462,389,543,620,458,851,547
6,006/2/2022-09-28 11:46:17.999485-3412.jpg,159,443,391,538,620,447,838,529
7,006/2/2022-09-28 11:47:07.837363-11208.jpg,147,459,370,550,618,451,840,533
8,006/2/2022-09-28 11:46:00.846484-704.jpg,171,441,417,542,632,453,856,537
9,006/2/2022-09-28 11:50:15.504183-40536.jpg,177,471,399,543,620,465,846,550
10,006/2/2022-09-28 11:48:06.336486-20300.jpg,154,465,394,563,616,459,844,549
11,006/2/2022-09-28 11:46:37.969953-6568.jpg,158,416,387,517,618,415,858,512
12,006/2/2022-09-28 11:50:15.779416-40580.jpg,111,445,338,507,544,437,781,503
13,006/2/2022-09-28 11:46:01.146778-752.jpg,160,441,401,536,637,439,856,537
14,006/2/2022-09-28 11:50:15.529263-40540.jpg,148,475,377,545,620,463,844,549
15,006/2/2022-09-28 11:49:50.095529-36572.jpg,156,451,394,548,625,446,851,536
16,006/2/2022-09-28 11:50:16.054264-40624.jpg,105,508,277,570,476,461,678,519
17,006/2/2022-09-28 11:46:15.499143-3012.jpg,161,423,394,527,629,420,843,513
18,006/2/2022-09-28 11:45:58.643832-344.jpg,162,451,393,553,632,449,851,551
19,006/2/2022-09-28 11:50:15.604715-40552.jpg,160,448,373,531,604,445,831,525
20,006/2/2022-09-28 11:46:21.071065-3896.jpg,166,424,405,527,635,428,858,520
21,006/2/2022-09-28 11:47:08.313452-11284.jpg,140,439,385,558,614,437,832,536
22,006/2/2022-09-28 11:50:15.579341-40548.jpg,163,453,383,541,609,447,850,526
23,006/2/2022-09-28 11:48:43.108496-26088.jpg,168,472,385,551,623,464,857,553
24,006/2/2022-09-28 11:46:17.848737-3388.jpg,140,436,390,541,615,454,838,527
25,006/2/2022-09-28 11:46:14.448720-2844.jpg,175,406,400,506,645,421,840,501
26,006/2/2022-09-28 11:46:14.998950-2932.jpg,171,422,403,527,623,425,851,512
27,006/2/2022-09-28 11:46:18.249119-3452.jpg,165,431,386,539,636,431,835,530
28,006/2/2022-09-28 11:50:15.754194-40576.jpg,144,436,334,521,584,433,774,509
29,006/2/2022-09-28 11:46:11.598451-2388.jpg,178,439,399,541,616,443,855,530
30,006/2/2022-09-28 11:47:14.164691-12200.jpg,154,455,402,542,622,461,842,540
31,006/2/2022-09-28 11:46:38.322551-6624.jpg,147,431,392,522,625,421,832,515
32,006/2/2022-09-28 11:47:10.659075-11644.jpg,158,428,385,522,617,429,830,522
33,006/2/2022-09-28 11:46:13.598466-2708.jpg,169,429,396,514,644,444,836,511
34,006/2/2022-09-28 11:47:27.604304-14276.jpg,159,423,394,516,630,419,844,510
35,006/2/2022-09-28 11:50:16.254304-40656.jpg,205,610,339,661,539,553,678,618
36,006/2/2022-09-28 11:47:14.016369-12176.jpg,153,419,413,538,610,417,874,523
37,006/2/2022-09-28 11:46:59.375587-9916.jpg,159,455,383,547,611,450,842,530
38,006/2/2022-09-28 11:45:56.787776-52.jpg,172,440,395,550,624,446,839,549
39,006/2/2022-09-28 11:47:38.012295-15852.jpg,172,429,391,525,631,437,844,517
40,006/2/2022-09-28 11:46:00.746847-688.jpg,171,448,413,548,641,448,859,545
41,006/2/2022-09-28 11:49:13.338186-30808.jpg,172,448,402,535,632,439,838,533
42,006/2/2022-09-28 11:46:19.549473-3656.jpg,164,419,396,525,620,423,846,512
43,006/2/2022-09-28 11:46:07.635218-1756.jpg,180,438,417,554,648,445,841,543
44,006/2/2022-09-28 11:48:07.368675-20468.jpg,159,437,401,540,629,433,845,527
45,006/2/2022-09-28 11:47:09.312946-11444.jpg,171,429,384,533,619,422,833,525
46,006/2/2022-09-28 11:46:45.997401-7828.jpg,157,426,393,526,627,430,845,518
47,006/2/2022-09-28 11:46:35.084051-6136.jpg,167,450,401,534,627,448,844,536
48,006/2/2022-09-28 11:50:05.978168-39048.jpg,168,451,390,543,628,444,836,534
49,006/2/2022-09-28 11:49:46.092622-35956.jpg,177,457,395,543,618,452,840,522
