,filename,lx_top,ly_top,lx_bottom,ly_bottom,rx_top,ry_top,rx_bottom,ry_bottom
0,011/0/2022-09-29 08:08:14.645679-18777.jpg,87,447,321,553,602,461,806,572
1,011/0/2022-09-29 08:08:52.433930-24828.jpg,95,436,316,541,599,450,822,571
2,011/0/2022-09-29 08:09:18.777592-29016.jpg,103,444,331,537,623,462,817,577
3,011/0/2022-09-29 08:08:47.700145-24069.jpg,99,451,314,555,617,475,810,588
4,011/0/2022-09-29 08:06:31.586521-2375.jpg,74,440,313,542,594,448,791,559
5,011/0/2022-09-29 08:08:17.015809-19162.jpg,97,450,333,554,604,453,808,570
6,011/0/2022-09-29 08:09:48.761010-33806.jpg,101,445,328,540,622,463,821,573
7,011/0/2022-09-29 08:10:21.985876-39121.jpg,111,460,341,553,613,478,800,587
8,011/0/2022-09-29 08:06:26.536842-1567.jpg,78,432,308,545,577,453,804,549
9,011/0/2022-09-29 08:10:01.464390-35837.jpg,105,443,331,558,603,459,828,575
10,011/0/2022-09-29 08:07:27.527456-11289.jpg,84,454,312,542,589,466,796,568
11,011/0/2022-09-29 08:08:20.110844-19657.jpg,101,464,324,569,597,476,801,581
12,011/0/2022-09-29 08:06:48.845765-5136.jpg,89,446,288,539,591,460,798,548
13,011/0/2022-09-29 08:08:46.986680-23956.jpg,97,433,315,533,602,453,812,567
14,011/0/2022-09-29 08:08:06.802363-17533.jpg,100,458,299,550,598,459,800,574
15,011/0/2022-09-29 08:09:23.129942-29716.jpg,116,458,332,549,611,472,816,577
16,011/0/2022-09-29 08:09:29.034912-30661.jpg,110,438,336,540,621,461,822,577
17,011/0/2022-09-29 08:10:25.817870-39722.jpg,111,457,350,562,615,477,822,584
18,011/0/2022-09-29 08:07:34.948780-12476.jpg,71,443,296,542,591,452,797,561
19,011/0/2022-09-29 08:08:31.043590-21406.jpg,79,443,315,538,608,458,813,570
20,011/0/2022-09-29 08:06:26.532467-1566.jpg,81,444,309,543,596,448,788,553
21,011/0/2022-09-29 08:08:02.123974-16780.jpg,81,456,309,552,598,454,796,569
22,011/0/2022-09-29 08:10:18.035001-38489.jpg,106,445,329,542,604,463,826,579
23,011/0/2022-09-29 08:06:36.656484-3186.jpg,74,439,309,543,621,448,800,553
24,011/0/2022-09-29 08:09:08.984759-27471.jpg,99,445,325,541,610,458,812,578
25,011/0/2022-09-29 08:06:55.679743-6228.jpg,86,448,313,547,589,444,792,561
26,011/0/2022-09-29 08:09:33.140384-31318.jpg,118,445,330,542,622,459,807,573
27,011/0/2022-09-29 08:08:23.229604-20152.jpg,101,432,308,530,608,443,811,555
28,011/0/2022-09-29 08:10:20.691696-38914.jpg,125,465,331,557,610,487,818,598
29,011/0/2022-09-29 08:06:20.966337-676.jpg,92,444,299,538,590,451,790,552
30,011/0/2022-09-29 08:09:12.547515-28035.jpg,103,442,323,544,601,467,812,572
31,011/0/2022-09-29 08:08:30.832887-21371.jpg,80,444,323,549,600,453,803,570
32,011/0/2022-09-29 08:09:01.375036-26258.jpg,99,438,347,547,616,462,814,573
33,011/0/2022-09-29 08:10:01.247541-35801.jpg,111,441,340,549,615,466,815,577
34,011/0/2022-09-29 08:06:45.020330-4524.jpg,79,467,312,556,591,466,798,567
35,011/0/2022-09-29 08:07:36.274493-12688.jpg,90,446,296,541,596,454,796,562
36,011/0/2022-09-29 08:10:08.878197-37028.jpg,102,449,330,545,624,474,822,578
37,011/0/2022-09-29 08:07:41.576205-13536.jpg,90,446,300,538,598,463,811,559
38,011/0/2022-09-29 08:09:27.595953-30430.jpg,108,449,313,541,627,464,820,573
39,011/0/2022-09-29 08:09:13.125911-28116.jpg,101,434,321,545,613,453,825,571
40,011/0/2022-09-29 08:08:28.548921-21007.jpg,78,444,335,552,587,454,813,570
41,011/0/2022-09-29 08:09:59.425675-35519.jpg,113,438,323,537,620,469,817,585
42,011/0/2022-09-29 08:10:22.523264-39207.jpg,115,449,333,555,614,463,826,587
43,011/0/2022-09-29 08:08:54.597851-25169.jpg,92,444,315,549,629,460,810,569
44,011/0/2022-09-29 08:08:28.933426-21068.jpg,94,440,318,539,598,452,812,570
45,011/0/2022-09-29 08:09:27.833265-30469.jpg,111,439,337,543,615,464,816,573
46,011/0/2022-09-29 08:06:40.828395-3853.jpg,84,441,296,539,587,456,792,556
47,011/0/2022-09-29 08:09:37.221968-31962.jpg,108,438,340,550,619,461,827,579
48,011/0/2022-09-29 08:09:29.215622-30690.jpg,111,442,329,540,606,459,819,567
49,011/0/2022-09-29 08:09:30.662666-30914.jpg,112,438,337,543,608,459,819,574
