,filename,lx_top,ly_top,lx_bottom,ly_bottom,rx_top,ry_top,rx_bottom,ry_bottom
0,048/0/2022-10-17 11:19:09.738383-11412.jpg,199,454,456,566,701,475,926,587
1,048/0/2022-10-17 11:18:04.424882-964.jpg,187,466,440,547,696,462,905,566
2,048/0/2022-10-17 11:21:27.000970-33292.jpg,218,445,461,557,728,461,922,576
3,048/0/2022-10-17 11:17:59.174351-124.jpg,192,445,425,563,683,458,893,575
4,048/0/2022-10-17 11:17:58.652827-40.jpg,197,452,431,557,683,458,897,573
5,048/0/2022-10-17 11:20:59.493418-28920.jpg,229,446,456,551,731,464,927,568
6,048/0/2022-10-17 11:17:58.495923-8.jpg,163,448,406,557,663,440,876,546
7,048/0/2022-10-17 11:20:59.110292-28856.jpg,228,470,456,563,726,471,943,579
8,048/0/2022-10-17 11:17:59.374201-156.jpg,198,452,435,554,676,465,890,568
9,048/0/2022-10-17 11:18:04.878340-1036.jpg,194,470,439,546,689,484,895,563
10,048/0/2022-10-17 11:18:04.650070-1000.jpg,176,459,427,548,683,459,911,561
11,048/0/2022-10-17 11:19:09.460744-11368.jpg,214,461,458,551,711,466,925,576
12,048/0/2022-10-17 11:17:59.802816-224.jpg,189,459,438,547,651,464,887,567
13,048/0/2022-10-17 11:21:39.622996-35296.jpg,206,458,482,550,725,466,942,574
14,048/0/2022-10-17 11:18:05.059905-1064.jpg,212,468,442,554,695,467,907,566
15,048/0/2022-10-17 11:19:49.572640-17776.jpg,234,463,460,560,707,472,935,578
16,048/0/2022-10-17 11:17:59.076129-108.jpg,203,451,421,560,685,468,900,564
17,048/0/2022-10-17 11:21:40.496555-35436.jpg,245,455,455,574,707,471,939,585
18,048/0/2022-10-17 11:18:04.800184-1024.jpg,192,485,446,560,683,472,910,576
19,048/0/2022-10-17 11:19:10.736167-11572.jpg,210,456,448,560,704,471,917,577
20,048/0/2022-10-17 11:18:32.179417-5404.jpg,204,430,441,539,691,447,909,547
21,048/0/2022-10-17 11:18:04.250065-936.jpg,214,460,433,554,689,466,903,572
22,048/0/2022-10-17 11:19:05.036273-10660.jpg,217,446,442,546,708,456,922,562
23,048/0/2022-10-17 11:21:40.221785-35392.jpg,234,464,446,561,726,490,929,584
24,048/0/2022-10-17 11:19:09.612838-11392.jpg,220,477,449,558,713,473,920,580
25,048/0/2022-10-17 11:17:58.777025-60.jpg,189,452,420,562,690,463,904,565
26,048/0/2022-10-17 11:17:59.274128-140.jpg,182,466,419,549,678,463,920,566
27,048/0/2022-10-17 11:19:39.583972-16180.jpg,238,441,457,543,723,451,924,566
28,048/0/2022-10-17 11:21:39.996589-35356.jpg,230,448,468,554,735,465,942,578
29,048/0/2022-10-17 11:18:25.078330-4268.jpg,219,452,451,550,701,463,906,568
30,048/0/2022-10-17 11:18:06.300321-1264.jpg,184,452,448,565,687,465,902,572
31,048/0/2022-10-17 11:19:18.336881-12788.jpg,229,448,471,555,715,460,931,582
32,048/0/2022-10-17 11:18:14.429133-2564.jpg,204,456,454,562,687,458,907,574
33,048/0/2022-10-17 11:19:41.938530-16556.jpg,230,444,468,538,724,451,931,571
34,048/0/2022-10-17 11:19:06.413589-10880.jpg,234,442,464,552,698,453,934,576
35,048/0/2022-10-17 11:18:20.052791-3464.jpg,219,456,442,558,696,459,904,563
36,048/0/2022-10-17 11:18:50.335386-8308.jpg,221,441,451,551,712,460,934,559
37,048/0/2022-10-17 11:19:14.086530-12108.jpg,218,436,452,542,701,452,939,571
38,048/0/2022-10-17 11:19:12.838689-11908.jpg,227,451,452,553,716,463,931,578
39,048/0/2022-10-17 11:18:10.754988-1976.jpg,202,467,428,558,694,461,896,567
40,048/0/2022-10-17 11:21:40.996790-35516.jpg,228,445,452,571,716,464,939,574
41,048/0/2022-10-17 11:21:30.054403-33780.jpg,223,444,456,553,721,457,930,566
42,048/0/2022-10-17 11:21:50.648095-37060.jpg,243,455,471,557,718,456,941,574
43,048/0/2022-10-17 11:20:56.494776-28440.jpg,223,445,450,546,725,462,936,568
44,048/0/2022-10-17 11:18:37.555773-6264.jpg,229,443,443,552,712,457,910,565
45,048/0/2022-10-17 11:18:00.399772-320.jpg,194,460,415,549,669,457,886,571
46,048/0/2022-10-17 11:19:22.437524-13444.jpg,222,453,450,549,714,471,920,579
47,048/0/2022-10-17 11:20:03.529230-19988.jpg,236,452,457,549,722,468,931,574
48,048/0/2022-10-17 11:20:19.415199-22532.jpg,237,461,458,556,728,463,937,578
49,048/0/2022-10-17 11:22:00.749790-38672.jpg,231,459,461,556,720,464,923,573
