,filename,lx_top,ly_top,lx_bottom,ly_bottom,rx_top,ry_top,rx_bottom,ry_bottom
0,029/1/2022-10-07 10:19:10.739359-30693.jpg,218,421,449,525,687,428,912,555
1,029/1/2022-10-07 10:16:24.668089-4189.jpg,181,401,444,518,679,427,917,540
2,029/1/2022-10-07 10:17:18.387131-12772.jpg,216,397,450,517,677,425,908,535
3,029/1/2022-10-07 10:16:05.396287-1106.jpg,183,365,442,464,657,358,903,474
4,029/1/2022-10-07 10:16:06.046151-1210.jpg,204,401,435,492,682,387,896,508
5,029/1/2022-10-07 10:16:04.974295-1036.jpg,176,383,421,489,674,373,911,492
6,029/1/2022-10-07 10:16:05.777412-1167.jpg,203,356,441,467,680,371,903,477
7,029/1/2022-10-07 10:16:06.097819-1217.jpg,180,373,437,489,671,388,897,504
8,029/1/2022-10-07 10:16:24.861842-4220.jpg,210,426,437,512,651,426,892,530
9,029/1/2022-10-07 10:16:07.227595-1399.jpg,180,386,427,488,655,398,896,493
10,029/1/2022-10-07 10:16:06.214799-1237.jpg,181,390,430,492,670,389,900,496
11,029/1/2022-10-07 10:16:03.809221-852.jpg,180,390,433,512,661,402,895,519
12,029/1/2022-10-07 10:16:00.748941-362.jpg,217,383,445,491,683,401,910,518
13,029/1/2022-10-07 10:16:00.439067-313.jpg,199,397,441,493,685,408,902,516
14,029/1/2022-10-07 10:16:07.499127-1442.jpg,166,398,423,505,664,403,880,501
15,029/1/2022-10-07 10:16:00.951858-395.jpg,194,392,433,485,685,396,896,510
16,029/1/2022-10-07 10:16:24.816525-4212.jpg,189,424,440,513,660,423,891,542
17,029/1/2022-10-07 10:16:06.061963-1212.jpg,192,380,443,497,661,392,898,501
18,029/1/2022-10-07 10:16:04.853018-1019.jpg,163,383,421,489,663,368,898,489
19,029/1/2022-10-07 10:16:07.843375-1496.jpg,171,424,409,516,660,406,889,525
20,029/1/2022-10-07 10:16:04.995792-1040.jpg,195,373,448,493,665,376,905,483
21,029/1/2022-10-07 10:19:10.700564-30687.jpg,222,420,461,527,677,426,907,548
22,029/1/2022-10-07 10:16:25.511950-4324.jpg,195,406,407,511,661,413,891,516
23,029/1/2022-10-07 10:16:25.874366-4382.jpg,194,402,430,511,670,392,901,516
24,029/1/2022-10-07 10:16:06.513271-1284.jpg,155,385,406,481,642,371,865,484
25,029/1/2022-10-07 10:17:13.619849-12012.jpg,219,427,440,512,671,407,905,519
26,029/1/2022-10-07 10:16:05.327472-1095.jpg,215,356,434,474,690,376,903,477
27,029/1/2022-10-07 10:16:27.244095-4600.jpg,204,402,428,503,686,403,907,521
28,029/1/2022-10-07 10:16:04.943738-1033.jpg,185,381,419,486,674,383,891,490
29,029/1/2022-10-07 10:15:58.599338-12.jpg,199,414,432,534,675,432,934,537
30,029/1/2022-10-07 10:16:05.580756-1135.jpg,190,342,419,451,667,354,893,453
31,029/1/2022-10-07 10:17:44.946167-17006.jpg,233,433,440,523,690,449,915,546
32,029/1/2022-10-07 10:18:32.324014-24562.jpg,214,440,441,532,692,435,917,547
33,029/1/2022-10-07 10:18:42.286730-26162.jpg,202,449,445,544,693,441,895,550
34,029/1/2022-10-07 10:17:13.094527-11928.jpg,213,412,442,514,692,422,917,530
35,029/1/2022-10-07 10:19:21.820959-32458.jpg,219,437,454,543,698,453,909,561
36,029/1/2022-10-07 10:19:10.437932-30645.jpg,217,425,445,517,689,426,904,538
37,029/1/2022-10-07 10:16:04.458541-956.jpg,187,380,420,483,668,380,900,486
38,029/1/2022-10-07 10:16:00.720682-358.jpg,206,388,457,494,679,394,915,514
39,029/1/2022-10-07 10:16:05.543797-1129.jpg,176,343,430,450,652,343,901,462
40,029/1/2022-10-07 10:18:07.280753-20569.jpg,225,436,462,523,708,441,918,552
41,029/1/2022-10-07 10:16:28.699841-4834.jpg,190,406,428,520,651,413,908,526
42,029/1/2022-10-07 10:19:04.468366-29690.jpg,211,432,450,538,687,446,919,549
43,029/1/2022-10-07 10:17:25.734033-13933.jpg,201,428,459,535,673,424,917,536
44,029/1/2022-10-07 10:18:11.684989-21278.jpg,217,441,443,544,666,434,918,565
45,029/1/2022-10-07 10:17:08.875055-11253.jpg,206,417,447,526,694,425,910,541
46,029/1/2022-10-07 10:18:48.271857-27120.jpg,213,437,454,533,691,446,907,550
47,029/1/2022-10-07 10:18:05.740812-20327.jpg,225,446,442,531,685,455,913,567
48,029/1/2022-10-07 10:19:16.276977-31571.jpg,204,421,484,541,687,455,914,563
49,029/1/2022-10-07 10:18:33.063831-24688.jpg,221,439,469,536,683,434,919,555
