,filename,lx_top,ly_top,lx_bottom,ly_bottom,rx_top,ry_top,rx_bottom,ry_bottom
0,028/0/2022-10-07 09:20:30.069952-17780.jpg,173,441,407,558,652,442,891,548
1,028/0/2022-10-07 09:21:52.270371-30850.jpg,169,430,407,549,660,413,887,537
2,028/0/2022-10-07 09:21:31.292494-27519.jpg,161,433,416,543,688,428,885,545
3,028/0/2022-10-07 09:22:50.098265-40081.jpg,161,449,406,562,661,438,878,548
4,028/0/2022-10-07 09:22:36.470188-37908.jpg,157,436,413,548,663,433,880,553
5,028/0/2022-10-07 09:19:53.777542-11993.jpg,172,422,413,537,667,423,887,541
6,028/0/2022-10-07 09:21:01.696373-22826.jpg,156,426,416,532,660,417,878,535
7,028/0/2022-10-07 09:20:32.493685-18167.jpg,163,416,395,534,652,422,882,531
8,028/0/2022-10-07 09:20:37.864092-19018.jpg,177,411,412,525,665,414,886,532
9,028/0/2022-10-07 09:20:01.219972-13173.jpg,167,427,413,542,659,425,879,533
10,028/0/2022-10-07 09:20:18.955671-16013.jpg,157,423,409,540,670,415,884,537
11,028/0/2022-10-07 09:21:48.250939-30208.jpg,151,448,407,543,651,422,893,546
12,028/0/2022-10-07 09:19:13.164076-5522.jpg,174,434,421,542,653,420,883,536
13,028/0/2022-10-07 09:21:57.577340-31699.jpg,157,426,411,543,656,420,889,548
14,028/0/2022-10-07 09:22:34.592681-37608.jpg,156,444,416,579,647,428,878,556
15,028/0/2022-10-07 09:21:48.439159-30238.jpg,162,429,420,550,649,419,882,550
16,028/0/2022-10-07 09:22:41.559266-38723.jpg,170,446,406,543,661,419,876,548
17,028/0/2022-10-07 09:21:17.439863-25346.jpg,1,1,1,1,1,1,1,1
18,028/0/2022-10-07 09:20:25.118808-16997.jpg,171,428,421,543,656,421,882,545
19,028/0/2022-10-07 09:21:17.217444-25309.jpg,176,430,416,554,657,426,876,543
20,028/0/2022-10-07 09:18:43.093279-711.jpg,169,431,413,539,671,424,889,536
21,028/0/2022-10-07 09:22:00.371573-32146.jpg,169,418,414,541,667,423,869,540
22,028/0/2022-10-07 09:22:44.860008-39251.jpg,163,437,413,560,649,426,882,554
23,028/0/2022-10-07 09:20:09.755274-14541.jpg,165,404,423,536,652,408,903,529
24,028/0/2022-10-07 09:20:19.400377-16084.jpg,169,433,411,551,664,421,883,545
25,028/0/2022-10-07 09:22:03.378349-32626.jpg,163,431,414,556,656,424,882,550
26,028/0/2022-10-07 09:21:53.941782-31117.jpg,175,437,413,550,660,432,876,541
27,028/0/2022-10-07 09:19:23.790595-7222.jpg,158,430,413,558,660,422,888,545
28,028/0/2022-10-07 09:21:16.953254-25268.jpg,171,435,408,549,653,424,883,547
29,028/0/2022-10-07 09:20:14.207538-15246.jpg,168,431,416,541,661,419,883,537
30,028/0/2022-10-07 09:21:14.795708-24923.jpg,169,416,417,535,645,409,874,528
31,028/0/2022-10-07 09:22:24.362683-35974.jpg,161,434,397,552,650,420,876,548
32,028/0/2022-10-07 09:22:16.756173-34757.jpg,156,437,400,548,662,418,882,543
33,028/0/2022-10-07 09:19:19.022558-6454.jpg,172,425,410,550,664,409,882,544
34,028/0/2022-10-07 09:19:03.781620-4021.jpg,164,434,394,545,650,409,880,543
35,028/0/2022-10-07 09:18:47.854349-1473.jpg,157,421,398,550,639,406,881,540
36,028/0/2022-10-07 09:20:18.180372-15889.jpg,160,432,407,549,656,416,895,544
37,028/0/2022-10-07 09:22:14.855099-34453.jpg,165,412,421,541,643,414,880,541
38,028/0/2022-10-07 09:21:36.206277-28281.jpg,162,434,409,547,651,411,880,542
39,028/0/2022-10-07 09:19:18.428275-6363.jpg,169,426,413,552,664,407,890,540
40,028/0/2022-10-07 09:22:28.552753-36642.jpg,157,433,419,550,652,415,885,550
41,028/0/2022-10-07 09:22:16.240129-34674.jpg,146,419,420,557,636,419,875,550
42,028/0/2022-10-07 09:19:59.179717-12849.jpg,174,417,425,543,657,396,890,537
43,028/0/2022-10-07 09:22:31.903520-37170.jpg,161,426,410,560,661,439,883,554
44,028/0/2022-10-07 09:19:37.399681-9384.jpg,165,414,418,541,652,405,890,534
45,028/0/2022-10-07 09:22:44.642426-39212.jpg,154,429,409,553,651,421,892,545
46,028/0/2022-10-07 09:20:14.501195-15296.jpg,170,415,413,533,651,416,893,533
47,028/0/2022-10-07 09:21:35.542952-28175.jpg,180,432,414,546,652,415,878,537
48,028/0/2022-10-07 09:18:52.598373-2231.jpg,172,419,396,543,651,405,875,531
49,028/0/2022-10-07 09:19:04.222973-4091.jpg,164,431,417,543,659,422,887,528
