,filename,lx_top,ly_top,lx_bottom,ly_bottom,rx_top,ry_top,rx_bottom,ry_bottom
0,005/0/2022-09-28 10:18:36.268528-36070.jpg,246,420,462,557,676,455,881,582
1,005/0/2022-09-28 10:17:14.538734-23046.jpg,227,454,471,565,666,477,878,594
2,005/0/2022-09-28 10:15:20.586802-4893.jpg,232,455,457,572,676,465,878,589
3,005/0/2022-09-28 10:18:21.559423-33726.jpg,267,431,494,543,714,469,913,597
4,005/0/2022-09-28 10:15:59.569351-11118.jpg,261,443,480,572,696,471,903,600
5,005/0/2022-09-28 10:15:41.552532-8243.jpg,235,426,453,549,676,465,868,581
6,005/0/2022-09-28 10:14:54.357655-697.jpg,237,438,459,561,679,460,890,589
7,005/0/2022-09-28 10:15:30.232369-6435.jpg,235,455,457,562,686,481,884,595
8,005/0/2022-09-28 10:17:35.095610-26327.jpg,257,442,480,562,692,476,906,600
9,005/0/2022-09-28 10:15:58.458589-10941.jpg,253,452,470,558,690,475,893,601
10,005/0/2022-09-28 10:17:51.823345-29003.jpg,265,438,478,544,696,467,885,586
11,005/0/2022-09-28 10:18:25.478678-34353.jpg,279,440,494,555,714,472,906,598
12,005/0/2022-09-28 10:19:00.846539-39996.jpg,236,457,458,562,681,480,889,593
13,005/0/2022-09-28 10:15:08.722228-2995.jpg,243,435,439,547,664,460,875,583
14,005/0/2022-09-28 10:17:01.358791-20949.jpg,218,433,444,549,672,458,880,579
15,005/0/2022-09-28 10:16:53.015571-19614.jpg,268,439,478,560,714,482,895,596
16,005/0/2022-09-28 10:16:53.942910-19756.jpg,243,462,460,564,673,473,887,592
17,005/0/2022-09-28 10:17:25.800776-24846.jpg,224,428,462,558,676,466,877,582
18,005/0/2022-09-28 10:17:10.029204-22336.jpg,221,453,439,561,653,465,874,584
19,005/0/2022-09-28 10:17:48.293243-28432.jpg,224,450,440,567,661,465,880,588
20,005/0/2022-09-28 10:18:58.198875-39578.jpg,236,437,460,554,669,455,884,579
21,005/0/2022-09-28 10:15:37.317318-7567.jpg,250,443,460,563,678,464,881,583
22,005/0/2022-09-28 10:19:05.605330-40757.jpg,238,445,463,561,662,460,883,574
23,005/0/2022-09-28 10:15:28.403410-6141.jpg,243,445,464,559,676,469,875,588
24,005/0/2022-09-28 10:16:47.574530-18741.jpg,276,432,474,551,711,468,900,603
25,005/0/2022-09-28 10:15:18.467412-4554.jpg,236,457,451,557,681,485,871,595
26,005/0/2022-09-28 10:15:45.766481-8917.jpg,246,433,461,562,681,471,879,599
27,005/0/2022-09-28 10:18:49.975283-38262.jpg,229,451,440,566,666,462,865,577
28,005/0/2022-09-28 10:17:49.598025-28647.jpg,235,462,454,559,664,466,865,583
29,005/0/2022-09-28 10:18:51.144886-38450.jpg,226,439,451,546,682,456,878,575
30,005/0/2022-09-28 10:17:56.792525-29798.jpg,248,457,473,575,675,456,886,601
31,005/0/2022-09-28 10:16:16.881618-13874.jpg,221,467,459,577,673,476,878,615
32,005/0/2022-09-28 10:17:43.465466-27666.jpg,220,418,443,570,656,428,874,593
33,005/0/2022-09-28 10:18:25.270161-34319.jpg,240,425,501,573,692,444,915,616
34,005/0/2022-09-28 10:17:08.128845-22032.jpg,194,437,439,570,649,451,872,595
35,005/0/2022-09-28 10:18:23.878759-34097.jpg,262,442,496,568,709,461,908,618
36,005/0/2022-09-28 10:16:22.108975-14710.jpg,216,437,469,574,658,448,890,604
37,005/0/2022-09-28 10:15:29.756873-6360.jpg,224,448,459,575,671,459,880,601
38,005/0/2022-09-28 10:15:11.222786-3395.jpg,229,463,457,574,677,482,879,601
39,005/0/2022-09-28 10:16:39.841019-17507.jpg,239,453,460,566,679,478,879,607
40,005/0/2022-09-28 10:15:36.358031-7414.jpg,239,444,456,556,672,473,880,596
41,005/0/2022-09-28 10:16:19.002967-14213.jpg,244,463,467,575,688,477,881,602
42,005/0/2022-09-28 10:15:53.795459-10196.jpg,240,450,475,571,678,471,891,618
43,005/0/2022-09-28 10:15:20.805671-4928.jpg,231,436,460,562,671,458,881,598
44,005/0/2022-09-28 10:17:03.080398-21224.jpg,224,434,451,555,663,458,869,577
45,005/0/2022-09-28 10:14:54.022977-643.jpg,227,436,466,558,673,463,881,594
46,005/0/2022-09-28 10:18:37.282053-36232.jpg,234,443,448,565,671,461,872,585
47,005/0/2022-09-28 10:17:09.710282-22285.jpg,207,473,436,573,657,491,878,598
48,005/0/2022-09-28 10:18:50.610649-38364.jpg,216,449,452,571,656,468,877,587
49,005/0/2022-09-28 10:17:33.539102-26078.jpg,253,447,480,566,705,467,896,603
