,filename,lx_top,ly_top,lx_bottom,ly_bottom,rx_top,ry_top,rx_bottom,ry_bottom
0,203/0/2022-10-20 12:04:40.584238-11168.jpg,211,519,434,614,649,489,865,608
1,203/0/2022-10-20 12:07:24.467514-37300.jpg,212,539,438,636,624,509,859,620
2,203/0/2022-10-20 12:07:42.476961-40188.jpg,186,541,438,633,630,498,869,611
3,203/0/2022-10-20 12:03:30.814839-4.jpg,208,539,441,642,627,500,862,628
4,203/0/2022-10-20 12:04:42.747399-11508.jpg,208,531,442,618,634,495,880,603
5,203/0/2022-10-20 12:06:21.609772-27300.jpg,184,522,442,624,625,472,850,596
6,203/0/2022-10-20 12:04:16.628248-7336.jpg,214,503,425,603,641,484,870,595
7,203/0/2022-10-20 12:03:32.058132-212.jpg,203,509,429,610,642,488,857,604
8,203/0/2022-10-20 12:03:31.407773-108.jpg,219,506,437,621,646,497,875,598
9,203/0/2022-10-20 12:06:14.033485-26088.jpg,203,528,431,629,632,484,855,609
10,203/0/2022-10-20 12:04:20.840723-8016.jpg,201,520,427,607,641,480,858,591
11,203/0/2022-10-20 12:04:41.141921-11244.jpg,211,511,445,609,650,482,868,600
12,203/0/2022-10-20 12:06:56.815017-32912.jpg,205,504,427,620,634,480,868,592
13,203/0/2022-10-20 12:07:38.774819-39596.jpg,210,522,428,622,653,492,857,611
14,203/0/2022-10-20 12:06:24.954745-27828.jpg,184,525,424,626,622,498,855,605
15,203/0/2022-10-20 12:04:43.447463-11620.jpg,218,508,448,614,645,482,865,597
16,203/0/2022-10-20 12:03:59.939948-4672.jpg,201,520,441,613,659,492,862,606
17,203/0/2022-10-20 12:06:01.881428-24144.jpg,202,524,441,624,644,496,854,606
18,203/0/2022-10-20 12:03:35.033339-688.jpg,210,517,442,620,643,485,861,594
19,203/0/2022-10-20 12:07:12.806803-35456.jpg,208,534,444,624,647,503,861,598
20,203/0/2022-10-20 12:06:10.058242-25452.jpg,204,523,428,614,651,495,853,594
21,203/0/2022-10-20 12:05:34.239839-19728.jpg,199,530,430,617,645,494,857,589
22,203/0/2022-10-20 12:05:08.042047-15540.jpg,215,517,441,618,646,484,863,596
23,203/0/2022-10-20 12:05:56.830683-23336.jpg,213,513,420,610,638,492,858,589
24,203/0/2022-10-20 12:04:19.967295-7876.jpg,200,514,421,616,634,493,858,591
25,203/0/2022-10-20 12:03:40.486821-1560.jpg,204,516,427,610,652,487,856,593
